factor,period,quantile,N_days,ann_ret,ann_vol,sharpe,max_dd,win_rate
OvernightGap,IS,Q3,969,0.03165951105954834,0.12582323728632028,0.09266580093640606,-0.2592081004406226,0.5273477812177503
OvernightGap,IS,Q4,969,0.1820651659209882,0.13344243973614772,1.2144949256131368,-0.15246924227467495,0.5294117647058824
OvernightGap,IS,Q5,969,0.1629211257212424,0.18073121417222507,0.790793811549608,-0.28809964154192846,0.543859649122807
OvernightGap,IS,LS,969,0.08876280712708606,0.19734313817495555,0.34844285827726146,-0.3830495261325423,0.49432404540763675
OvernightGap,OOS,Q1,600,0.057224097324270584,0.18561969834666167,0.20053958526939955,-0.21204198739886804,0.49666666666666665
OvernightGap,OOS,Q2,600,-0.0030994229429196496,0.1085312221437855,-0.21283666106990692,-0.2200525077879537,0.49166666666666664
OvernightGap,OOS,Q3,600,0.012289182160365453,0.09598729433293138,-0.0803316511130069,-0.1782462118974163,0.49333333333333335
OvernightGap,OOS,Q4,600,0.020652418693484442,0.1112010055889575,0.005867021525830774,-0.20977578336069125,0.5083333333333333
OvernightGap,OOS,Q5,600,0.044266967358794096,0.17112624978969035,0.14180739301315584,-0.23281302822783756,0.51
OvernightGap,OOS,LS,600,-0.012258603927900458,0.21384280048414098,-0.15085195225121842,-0.35883895752067585,0.485
VolumeRatio_20d,ALL,Q1,1551,0.05036365410773391,0.14755165719254817,0.20578321304863917,-0.3408774757085893,0.4938749194068343
VolumeRatio_20d,ALL,Q2,1551,0.05634990713237298,0.11841071682171549,0.3069815647438655,-0.21807758355319007,0.5203094777562862
VolumeRatio_20d,ALL,Q3,1551,0.027221213649795573,0.1309847997274896,0.055130165216262614,-0.28410608352836797,0.5177304964539007
VolumeRatio_20d,ALL,Q4,1551,0.08445876793125184,0.1437108554350538,0.44853095986463054,-0.3004173861337819,0.5235332043842682
VolumeRatio_20d,ALL,Q5,1551,0.19168601902767213,0.17621658147466002,0.9742898062766053,-0.25710801615653556,0.5409413281753708
VolumeRatio_20d,ALL,LS,1551,0.13457520508952547,0.18512571363519031,0.6189048665346834,-0.24865859282085545,0.5261121856866537
VolumeRatio_20d,IS,Q1,951,0.06281257196546175,0.15803985621845398,0.2708973102726894,-0.30182825579825956,0.5057833859095688
VolumeRatio_20d,IS,Q2,951,0.12666600986762533,0.13082517436168364,0.8153324494927323,-0.14287330413122112,0.5499474237644585
VolumeRatio_20d,IS,Q3,951,0.04846947206810337,0.1433313101157333,0.19862702744512423,-0.28410608352836797,0.526813880126183
VolumeRatio_20d,IS,Q4,951,0.12451583241090236,0.1551698495467523,0.6735576061727893,-0.23776902396423005,0.5394321766561514
VolumeRatio_20d,IS,Q5,951,0.22850841996397575,0.1692206379273061,1.2321689748832345,-0.25710801615653556,0.544689800210305
VolumeRatio_20d,IS,LS,951,0.15594531961667957,0.1745052036194936,0.7790330419779724,-0.24865859282085545,0.5341745531019979
VolumeRatio_20d,OOS,Q1,600,0.030928945956900433,0.12931458373256408,0.0845144116111654,-0.16754700166390246,0.475
VolumeRatio_20d,OOS,Q2,600,-0.046254492322379215,0.09521979723508324,-0.6958058538898894,-0.17146154667011904,0.47333333333333333
VolumeRatio_20d,OOS,Q3,600,-0.005582131929140699,0.10866043256630664,-0.2354318984836546,-0.1635004179919074,0.5033333333333333
VolumeRatio_20d,OOS,Q4,600,0.023859693948661498,0.12342281616581327,0.03127212673122094,-0.20965498709355035,0.49833333333333335
VolumeRatio_20d,OOS,Q5,600,0.1355613806241318,0.18687203846469366,0.6183984590394737,-0.19607297421174885,0.535
VolumeRatio_20d,OOS,LS,600,0.10150675276875565,0.2009487818443867,0.40560958877508346,-0.16180787026589283,0.5133333333333333
OI_Change,ALL,Q1,1569,0.1822245775786211,0.17420038469273588,0.9312526942162708,-0.3373558995574778,0.5219885277246654
OI_Change,ALL,Q2,1569,0.04628725918121046,0.13592121127443446,0.19340071306556147,-0.3004892020248804,0.5168897386870618
OI_Change,ALL,Q3,1569,0.058853570385813736,0.13104559643743058,0.29648894310130347,-0.2156962112228088,0.5302740599107711
OI_Change,ALL,Q4,1569,0.051015049654779654,0.1309297482220978,0.23688313829312824,-0.22490209258797456,0.5092415551306565
OI_Change,ALL,Q5,1569,0.031478684080235686,0.13554672712567312,0.08468433228633504,-0.2522984794334334,0.5130656469088591
OI_Change,ALL,LS,1569,-0.1275927414444421,0.16200917952005944,-0.9110146837461617,-0.6885089497681952,0.4780114722753346
OI_Change,IS,Q1,969,0.18531811733948667,0.18067331702001108,0.9150112482917238,-0.3373558995574778,0.5263157894736842
OI_Change,IS,Q2,969,0.08128027907824253,0.14515025966799963,0.42218511505530987,-0.2930451675355724,0.5273477812177503
OI_Change,IS,Q3,969,0.12211694029096742,0.14281088088836483,0.7150501394273463,-0.20000639817872923,0.5562435500515995
OI_Change,IS,Q4,969,0.0753325302207839,0.14182586659315963,0.3901441362562605,-0.20758745959001357,0.52218782249742
